houseId,houseAddress
123,119 Georgia
124,120 Georgia
125,121 Georgia
126,122 Georgia
127,123 Georgia
128,124 Georgia
129,125 Georgia
130,126 Georgia
131,127 Georgia
132,128 Georgia
133,129 Georgia
134,130 Georgia
135,131 Georgia
136,132 Georgia
137,133 Georgia
138,134 Georgia
139,135 Georgia
140,136 Georgia
141,137 Georgia
142,138 Georgia
143,139 Georgia
144,140 Georgia
145,141 Georgia
146,142 Georgia
147,143 Georgia
148,144 Georgia
149,145 Georgia
150,146 Georgia
151,147 Georgia
152,148 Georgia
153,149 Georgia
154,150 Georgia
155,151 Georgia
156,152 Georgia
157,153 Georgia
158,154 Georgia
159,155 Georgia
160,156 Georgia
161,157 Georgia
162,158 Georgia
163,159 Georgia
164,160 Georgia
165,161 Georgia
166,162 Georgia
167,163 Georgia
168,164 Georgia
169,165 Georgia
170,166 Georgia
171,167 Georgia
172,168 Georgia
173,169 Georgia
174,170 Georgia
175,171 Georgia
176,172 Georgia
177,173 Georgia
178,174 Georgia
179,175 Georgia
180,176 Georgia
181,177 Georgia
182,178 Georgia
183,179 Georgia
184,180 Georgia
185,181 Georgia
186,182 Georgia
187,183 Georgia
188,184 Georgia
189,185 Georgia
190,186 Georgia
191,187 Georgia
192,188 Georgia
193,189 Georgia
194,190 Georgia
195,191 Georgia
196,192 Georgia
197,193 Georgia
198,194 Georgia
199,195 Georgia
200,196 Georgia
201,197 Georgia
202,198 Georgia
203,199 Georgia
204,200 Georgia
205,201 Georgia
206,202 Georgia
207,203 Georgia
208,204 Georgia
209,205 Georgia
210,206 Georgia
211,207 Georgia
212,208 Georgia
213,209 Georgia
214,210 Georgia
215,211 Georgia
216,212 Georgia
217,213 Georgia
218,214 Georgia
219,215 Georgia
220,216 Georgia
221,217 Georgia
222,218 Georgia
223,219 Georgia
224,220 Georgia
225,221 Georgia
226,222 Georgia
227,223 Georgia
228,224 Georgia
229,225 Georgia
230,226 Georgia
231,227 Georgia
232,228 Georgia
233,229 Georgia
234,230 Georgia
235,231 Georgia
236,232 Georgia
237,233 Georgia
238,234 Georgia
239,235 Georgia
240,236 Georgia
241,237 Georgia
242,238 Georgia
243,239 Georgia
244,240 Georgia
245,241 Georgia
246,242 Georgia
247,243 Georgia
248,244 Georgia
249,245 Georgia
250,246 Georgia
251,247 Georgia
252,248 Georgia
253,249 Georgia
254,250 Georgia
255,251 Georgia
256,252 Georgia
257,253 Georgia
258,254 Georgia
259,255 Georgia
260,256 Georgia
261,257 Georgia
262,258 Georgia
263,259 Georgia
264,260 Georgia
265,261 Georgia
266,262 Georgia
267,263 Georgia
268,264 Georgia
269,265 Georgia
270,266 Georgia
271,267 Georgia
272,268 Georgia
273,269 Georgia
274,270 Georgia
275,271 Georgia
276,272 Georgia
277,273 Georgia
278,274 Georgia
279,275 Georgia
280,276 Georgia
281,277 Georgia
282,278 Georgia
283,279 Georgia
284,280 Georgia
285,281 Georgia
286,282 Georgia
287,283 Georgia
288,284 Georgia
289,285 Georgia
290,286 Georgia
291,287 Georgia
292,288 Georgia
293,289 Georgia
294,290 Georgia
295,291 Georgia
296,292 Georgia
297,293 Georgia
298,294 Georgia
299,295 Georgia
300,296 Georgia
301,297 Georgia
302,298 Georgia
303,299 Georgia
304,300 Georgia
305,301 Georgia
306,302 Georgia
307,303 Georgia
308,304 Georgia
309,305 Georgia
310,306 Georgia
311,307 Georgia
312,308 Georgia
313,309 Georgia
314,310 Georgia
315,311 Georgia
316,312 Georgia
317,313 Georgia
318,314 Georgia
319,315 Georgia
320,316 Georgia
321,317 Georgia
322,318 Georgia
323,319 Georgia
324,320 Georgia
325,321 Georgia
326,322 Georgia
327,323 Georgia
328,324 Georgia
329,325 Georgia
330,326 Georgia
331,327 Georgia
332,328 Georgia
333,329 Georgia
334,330 Georgia
335,331 Georgia
336,332 Georgia
337,333 Georgia
338,334 Georgia
339,335 Georgia
340,336 Georgia
341,337 Georgia
342,338 Georgia
343,339 Georgia
344,340 Georgia
345,341 Georgia
346,342 Georgia
347,343 Georgia
348,344 Georgia
349,345 Georgia
350,346 Georgia
351,347 Georgia
352,348 Georgia
353,349 Georgia
354,350 Georgia
355,351 Georgia
356,352 Georgia
357,353 Georgia
358,354 Georgia
359,355 Georgia
360,356 Georgia
361,357 Georgia
362,358 Georgia
363,359 Georgia
364,360 Georgia
365,361 Georgia
366,362 Georgia
367,363 Georgia
368,364 Georgia
369,365 Georgia
370,366 Georgia
371,367 Georgia
372,368 Georgia
373,369 Georgia
374,370 Georgia
375,371 Georgia
376,372 Georgia
377,373 Georgia
378,374 Georgia
379,375 Georgia
380,376 Georgia
381,377 Georgia
382,378 Georgia
383,379 Georgia
384,380 Georgia
385,381 Georgia
386,382 Georgia
387,383 Georgia
388,384 Georgia
389,385 Georgia
390,386 Georgia
391,387 Georgia
392,388 Georgia
393,389 Georgia
394,390 Georgia
395,391 Georgia
396,392 Georgia
397,393 Georgia
398,394 Georgia
399,395 Georgia
400,396 Georgia
401,397 Georgia
402,398 Georgia
403,399 Georgia
404,400 Georgia
405,401 Georgia
406,402 Georgia
407,403 Georgia
408,404 Georgia
409,405 Georgia
410,406 Georgia
411,407 Georgia
412,408 Georgia
413,409 Georgia
414,410 Georgia
415,411 Georgia
416,412 Georgia
417,413 Georgia
418,414 Georgia
419,415 Georgia
420,416 Georgia
421,417 Georgia
422,418 Georgia
423,419 Georgia
424,420 Georgia
425,421 Georgia
426,422 Georgia
427,423 Georgia
428,424 Georgia
429,425 Georgia
430,426 Georgia
431,427 Georgia
432,428 Georgia
433,429 Georgia
434,430 Georgia
435,431 Georgia
436,432 Georgia
437,433 Georgia
438,434 Georgia
439,435 Georgia
440,436 Georgia
441,437 Georgia
442,438 Georgia
443,439 Georgia
444,440 Georgia
445,441 Georgia
446,442 Georgia
447,443 Georgia
448,444 Georgia
449,445 Georgia
450,446 Georgia
451,447 Georgia
452,448 Georgia
453,449 Georgia
454,450 Georgia
455,451 Georgia
456,452 Georgia
457,453 Georgia
458,454 Georgia
459,455 Georgia
460,456 Georgia
461,457 Georgia
462,458 Georgia
463,459 Georgia
464,460 Georgia
465,461 Georgia
466,462 Georgia
467,463 Georgia
468,464 Georgia
469,465 Georgia
470,466 Georgia
471,467 Georgia
472,468 Georgia
473,469 Georgia
474,470 Georgia
475,471 Georgia
476,472 Georgia
477,473 Georgia
478,474 Georgia
479,475 Georgia
480,476 Georgia
481,477 Georgia
482,478 Georgia
483,479 Georgia
484,480 Georgia
485,481 Georgia
486,482 Georgia
487,483 Georgia
488,484 Georgia
489,485 Georgia
490,486 Georgia
491,487 Georgia
492,488 Georgia
493,489 Georgia
494,490 Georgia
495,491 Georgia
496,492 Georgia
497,493 Georgia
498,494 Georgia
499,495 Georgia
500,496 Georgia
501,497 Georgia
502,498 Georgia
503,499 Georgia
504,500 Georgia
505,501 Georgia
506,502 Georgia
507,503 Georgia
508,504 Georgia
509,505 Georgia
510,506 Georgia
511,507 Georgia
512,508 Georgia
513,509 Georgia
514,510 Georgia
515,511 Georgia
516,512 Georgia
517,513 Georgia
518,514 Georgia
519,515 Georgia
520,516 Georgia
521,517 Georgia
522,518 Georgia
523,519 Georgia
524,520 Georgia
525,521 Georgia
526,522 Georgia
527,523 Georgia
528,524 Georgia
529,525 Georgia
530,526 Georgia
531,527 Georgia
532,528 Georgia
533,529 Georgia
534,530 Georgia
535,531 Georgia
536,532 Georgia
537,533 Georgia
538,534 Georgia
539,535 Georgia
540,536 Georgia
541,537 Georgia
542,538 Georgia
543,539 Georgia
544,540 Georgia
545,541 Georgia
546,542 Georgia
547,543 Georgia
548,544 Georgia
549,545 Georgia
550,546 Georgia
551,547 Georgia
552,548 Georgia
553,549 Georgia
554,550 Georgia
555,551 Georgia
556,552 Georgia
557,553 Georgia
558,554 Georgia
559,555 Georgia
560,556 Georgia
561,557 Georgia
562,558 Georgia
563,559 Georgia
564,560 Georgia
565,561 Georgia
566,562 Georgia
567,563 Georgia
568,564 Georgia
569,565 Georgia
570,566 Georgia
571,567 Georgia
572,568 Georgia
573,569 Georgia
574,570 Georgia
575,571 Georgia
576,572 Georgia
577,573 Georgia
578,574 Georgia
579,575 Georgia
580,576 Georgia
581,577 Georgia
582,578 Georgia
583,579 Georgia
584,580 Georgia
585,581 Georgia
586,582 Georgia
587,583 Georgia
588,584 Georgia
589,585 Georgia
590,586 Georgia
591,587 Georgia
592,588 Georgia
593,589 Georgia
594,590 Georgia
595,591 Georgia
596,592 Georgia
597,593 Georgia
598,594 Georgia
599,595 Georgia
600,596 Georgia
601,597 Georgia
602,598 Georgia
603,599 Georgia
604,600 Georgia
605,601 Georgia
606,602 Georgia
607,603 Georgia
608,604 Georgia
609,605 Georgia
610,606 Georgia
611,607 Georgia
612,608 Georgia
613,609 Georgia
614,610 Georgia
615,611 Georgia
616,612 Georgia
617,613 Georgia
618,614 Georgia
619,615 Georgia
620,616 Georgia
621,617 Georgia
622,618 Georgia
623,619 Georgia
624,620 Georgia
625,621 Georgia
626,622 Georgia
627,623 Georgia
628,624 Georgia
629,625 Georgia
630,626 Georgia
631,627 Georgia
632,628 Georgia
633,629 Georgia
634,630 Georgia
635,631 Georgia
636,632 Georgia
637,633 Georgia
638,634 Georgia
639,635 Georgia
640,636 Georgia
641,637 Georgia
642,638 Georgia
643,639 Georgia
644,640 Georgia
645,641 Georgia
646,642 Georgia
647,643 Georgia
648,644 Georgia
649,645 Georgia
650,646 Georgia
651,647 Georgia
652,648 Georgia
653,649 Georgia
654,650 Georgia
655,651 Georgia
656,652 Georgia
657,653 Georgia
658,654 Georgia
659,655 Georgia
660,656 Georgia
661,657 Georgia
662,658 Georgia
663,659 Georgia
664,660 Georgia
665,661 Georgia
666,662 Georgia
667,663 Georgia
668,664 Georgia
669,665 Georgia
670,666 Georgia
671,667 Georgia
672,668 Georgia
673,669 Georgia
674,670 Georgia
675,671 Georgia
676,672 Georgia
677,673 Georgia
678,674 Georgia
679,675 Georgia
680,676 Georgia
681,677 Georgia
682,678 Georgia
683,679 Georgia
684,680 Georgia
685,681 Georgia
686,682 Georgia
687,683 Georgia
688,684 Georgia
689,685 Georgia
690,686 Georgia
691,687 Georgia
692,688 Georgia
693,689 Georgia
694,690 Georgia
695,691 Georgia
696,692 Georgia
697,693 Georgia
698,694 Georgia
699,695 Georgia
700,696 Georgia
701,697 Georgia
702,698 Georgia
703,699 Georgia
704,700 Georgia
705,701 Georgia
706,702 Georgia
707,703 Georgia
708,704 Georgia
709,705 Georgia
710,706 Georgia
711,707 Georgia
712,708 Georgia
713,709 Georgia
714,710 Georgia
715,711 Georgia
716,712 Georgia
717,713 Georgia
718,714 Georgia
719,715 Georgia
720,716 Georgia
721,717 Georgia
722,718 Georgia
723,719 Georgia
724,720 Georgia
725,721 Georgia
726,722 Georgia
727,723 Georgia
728,724 Georgia
729,725 Georgia
730,726 Georgia
731,727 Georgia
732,728 Georgia
733,729 Georgia
734,730 Georgia
735,731 Georgia
736,732 Georgia
737,733 Georgia
738,734 Georgia
739,735 Georgia
740,736 Georgia
741,737 Georgia
742,738 Georgia
743,739 Georgia
744,740 Georgia
745,741 Georgia
746,742 Georgia
747,743 Georgia
748,744 Georgia
749,745 Georgia
750,746 Georgia
751,747 Georgia
752,748 Georgia
753,749 Georgia
754,750 Georgia
755,751 Georgia
756,752 Georgia
757,753 Georgia
758,754 Georgia
759,755 Georgia
760,756 Georgia
761,757 Georgia
762,758 Georgia
763,759 Georgia
764,760 Georgia
765,761 Georgia
766,762 Georgia
767,763 Georgia
768,764 Georgia
769,765 Georgia
770,766 Georgia
771,767 Georgia
772,768 Georgia
773,769 Georgia
774,770 Georgia
775,771 Georgia
776,772 Georgia
777,773 Georgia
778,774 Georgia
779,775 Georgia
780,776 Georgia
781,777 Georgia
782,778 Georgia
783,779 Georgia
784,780 Georgia
785,781 Georgia
786,782 Georgia
787,783 Georgia
788,784 Georgia
789,785 Georgia
790,786 Georgia
791,787 Georgia
792,788 Georgia
793,789 Georgia
794,790 Georgia
795,791 Georgia
796,792 Georgia
797,793 Georgia
798,794 Georgia
799,795 Georgia
800,796 Georgia
801,797 Georgia
802,798 Georgia
803,799 Georgia
804,800 Georgia
805,801 Georgia
806,802 Georgia
807,803 Georgia
808,804 Georgia
809,805 Georgia
810,806 Georgia
811,807 Georgia
812,808 Georgia
813,809 Georgia
814,810 Georgia
815,811 Georgia
816,812 Georgia
817,813 Georgia
818,814 Georgia
819,815 Georgia
820,816 Georgia
821,817 Georgia
822,818 Georgia
823,819 Georgia
824,820 Georgia
825,821 Georgia
826,822 Georgia
827,823 Georgia
828,824 Georgia
829,825 Georgia
830,826 Georgia
831,827 Georgia
832,828 Georgia
833,829 Georgia
834,830 Georgia
835,831 Georgia
836,832 Georgia
837,833 Georgia
838,834 Georgia
839,835 Georgia
840,836 Georgia
841,837 Georgia
842,838 Georgia
843,839 Georgia
844,840 Georgia
845,841 Georgia
846,842 Georgia
847,843 Georgia
848,844 Georgia
849,845 Georgia
850,846 Georgia
851,847 Georgia
852,848 Georgia
853,849 Georgia
854,850 Georgia
855,851 Georgia
856,852 Georgia
857,853 Georgia
858,854 Georgia
859,855 Georgia
860,856 Georgia
861,857 Georgia
862,858 Georgia
863,859 Georgia
864,860 Georgia
865,861 Georgia
866,862 Georgia
867,863 Georgia
868,864 Georgia
869,865 Georgia
870,866 Georgia
871,867 Georgia
872,868 Georgia
873,869 Georgia
874,870 Georgia
875,871 Georgia
876,872 Georgia
877,873 Georgia
878,874 Georgia
879,875 Georgia
880,876 Georgia
881,877 Georgia
882,878 Georgia
883,879 Georgia
884,880 Georgia
885,881 Georgia
886,882 Georgia
887,883 Georgia
888,884 Georgia
889,885 Georgia
890,886 Georgia
891,887 Georgia
892,888 Georgia
893,889 Georgia
894,890 Georgia
895,891 Georgia
896,892 Georgia
897,893 Georgia
898,894 Georgia
899,895 Georgia
900,896 Georgia
901,897 Georgia
902,898 Georgia
903,899 Georgia
904,900 Georgia
905,901 Georgia
906,902 Georgia
907,903 Georgia
908,904 Georgia
909,905 Georgia
910,906 Georgia
911,907 Georgia
912,908 Georgia
913,909 Georgia
914,910 Georgia
915,911 Georgia
916,912 Georgia
917,913 Georgia
918,914 Georgia
919,915 Georgia
920,916 Georgia
921,917 Georgia
922,918 Georgia
923,919 Georgia
924,920 Georgia
925,921 Georgia
926,922 Georgia
927,923 Georgia
928,924 Georgia
929,925 Georgia
930,926 Georgia
931,927 Georgia
932,928 Georgia
933,929 Georgia
934,930 Georgia
935,931 Georgia
936,932 Georgia
937,933 Georgia
938,934 Georgia
939,935 Georgia
940,936 Georgia
941,937 Georgia
942,938 Georgia
943,939 Georgia
944,940 Georgia
945,941 Georgia
946,942 Georgia
947,943 Georgia
948,944 Georgia
949,945 Georgia
950,946 Georgia
951,947 Georgia
952,948 Georgia
953,949 Georgia
954,950 Georgia
955,951 Georgia
956,952 Georgia
957,953 Georgia
958,954 Georgia
959,955 Georgia
960,956 Georgia
961,957 Georgia
962,958 Georgia
963,959 Georgia
964,960 Georgia
965,961 Georgia
966,962 Georgia
967,963 Georgia
968,964 Georgia
969,965 Georgia
970,966 Georgia
971,967 Georgia
972,968 Georgia
973,969 Georgia
974,970 Georgia
975,971 Georgia
976,972 Georgia
977,973 Georgia
978,974 Georgia
979,975 Georgia
980,976 Georgia
981,977 Georgia
982,978 Georgia
983,979 Georgia
984,980 Georgia
985,981 Georgia
986,982 Georgia
987,983 Georgia
988,984 Georgia
989,985 Georgia
990,986 Georgia
991,987 Georgia
992,988 Georgia
993,989 Georgia
994,990 Georgia
995,991 Georgia
996,992 Georgia
997,993 Georgia
998,994 Georgia
999,995 Georgia
1000,996 Georgia
